Inserting into restaurants_meals... 

Records: 500  Deleted: 0  Skipped: 495  Warnings: 495
Level	Code	Message
Warning	1062	Duplicate entry '22-25' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '32-22' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '36-483' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '27-430' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '16-396' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '18-231' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '32-50' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '46-214' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '2-49' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '36-466' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '22-243' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '43-389' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '39-188' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '9-409' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '7-7' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '48-303' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '33-155' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '43-104' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '21-373' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '44-488' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '29-206' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '27-138' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '20-10' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '15-63' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '2-62' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '46-256' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '36-363' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '39-362' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '30-262' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '47-421' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '19-126' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '9-418' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '39-112' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '44-358' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '30-45' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '18-25' for key 'restaurants_meals.PRIMARY'
Warning	1062	Duplicate entry '39-417' for key 'restaurants_meals.PRIMARY'
